system,frame_spacing_ps,block,occupancy_pct,bonded_duration_ps
FuncLow,5,1,29.45,24.40
FuncLow,5,2,29.10,24.92
FuncLow,5,3,29.30,25.83
FuncLow,5,4,29.17,24.56
FuncLow,5,5,31.70,31.24
FuncLow,10,1,29.49,48.81
FuncLow,10,2,29.07,48.19
FuncLow,10,3,29.34,51.15
FuncLow,10,4,29.08,49.47
FuncLow,10,5,31.71,62.93
FuncLow,20,1,29.51,95.86
FuncLow,20,2,29.03,96.11
FuncLow,20,3,29.30,101.80
FuncLow,20,4,29.08,95.70
FuncLow,20,5,31.65,124.39
FuncHigh,10,1,6.97,28.02
FuncHigh,10,2,6.73,26.16
FuncHigh,10,3,7.96,26.48
FuncHigh,10,4,8.62,27.63
FuncHigh,10,5,8.66,30.53
FuncHigh,20,1,6.93,56.04
FuncHigh,20,2,6.68,50.99
FuncHigh,20,3,7.97,53.34
FuncHigh,20,4,8.59,53.83
FuncHigh,20,5,8.64,60.37
